2026-01-30 08:30:21.105 +09:00 [INF] CTI Bridge 서비스 시작 중...
2026-01-30 08:30:22.197 +09:00 [INF] CTI Bridge 서비스 시작 중...
2026-01-30 08:30:22.253 +09:00 [INF] 설정 파일에서 URL 로드: https://d-care-console.vercel.app
2026-01-30 08:30:22.470 +09:00 [INF] ═══════════════════════════════════════════════════════
2026-01-30 08:30:22.470 +09:00 [INF] 📡 HTTP 서버 시작: http://localhost:5080/
2026-01-30 08:30:22.475 +09:00 [INF]    발신 요청: POST /api/click-call
2026-01-30 08:30:22.476 +09:00 [INF]    상태 조회: GET /api/status
2026-01-30 08:30:22.476 +09:00 [INF] ═══════════════════════════════════════════════════════
2026-01-30 08:30:22.484 +09:00 [INF] CTI Bridge 서비스 실행 시작
2026-01-30 08:30:22.488 +09:00 [INF] SK CTI API 초기화 중...
2026-01-30 08:30:22.542 +09:00 [INF] CTI 초기화 성공
2026-01-30 08:30:22.543 +09:00 [WRN] 로그인 요청 실패 (코드: 0x8014)
2026-01-30 08:30:22.552 +09:00 [INF] 로그인 2차 재시도...
2026-01-30 08:30:24.092 +09:00 [WRN] 로그인 요청 실패 (코드: 0x8014)
2026-01-30 08:30:24.092 +09:00 [INF] 로그인 3차 재시도...
2026-01-30 08:30:25.605 +09:00 [WRN] 로그인 요청 실패 (코드: 0x8014)
2026-01-30 08:30:25.605 +09:00 [ERR] CTI 로그인 실패
2026-01-30 08:30:25.606 +09:00 [ERR] CTI 초기 연결 실패
2026-01-30 08:30:25.631 +09:00 [INF] [SendWorker] 전송 워커 시작
2026-01-30 09:32:12.549 +09:00 [INF] [HTTP] GET /api/status
2026-01-30 09:32:18.150 +09:00 [INF] [HTTP] GET /api/status
2026-01-30 09:32:23.150 +09:00 [INF] [HTTP] GET /api/status
2026-01-30 09:32:28.150 +09:00 [INF] [HTTP] GET /api/status
2026-01-30 09:32:33.150 +09:00 [INF] [HTTP] GET /api/status
2026-01-30 09:32:38.150 +09:00 [INF] [HTTP] GET /api/status
2026-01-30 09:32:43.150 +09:00 [INF] [HTTP] GET /api/status
2026-01-30 09:32:48.149 +09:00 [INF] [HTTP] GET /api/status
2026-01-30 09:32:53.150 +09:00 [INF] [HTTP] GET /api/status
2026-01-30 09:32:58.150 +09:00 [INF] [HTTP] GET /api/status
2026-01-30 09:33:03.150 +09:00 [INF] [HTTP] GET /api/status
2026-01-30 09:33:08.150 +09:00 [INF] [HTTP] GET /api/status
2026-01-30 09:33:13.836 +09:00 [INF] [HTTP] GET /api/status
2026-01-30 09:33:17.531 +09:00 [INF] [HTTP] GET /api/status
2026-01-30 09:33:22.532 +09:00 [INF] [HTTP] GET /api/status
2026-01-30 09:33:27.532 +09:00 [INF] [HTTP] GET /api/status
2026-01-30 09:33:32.532 +09:00 [INF] [HTTP] GET /api/status
2026-01-30 09:33:37.531 +09:00 [INF] [HTTP] GET /api/status
2026-01-30 09:33:42.531 +09:00 [INF] [HTTP] GET /api/status
2026-01-30 09:33:47.531 +09:00 [INF] [HTTP] GET /api/status
2026-01-30 09:33:52.531 +09:00 [INF] [HTTP] GET /api/status
2026-01-30 09:33:57.531 +09:00 [INF] [HTTP] GET /api/status
